Promotional,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0,0,0,3,0,155,2,1,1,28,1
Indecent,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ???ś1.50 to rcv",0,0,0,6,0,148,0,0,2,32,5
Malicious,WINNER!! As a valued network customer you have been selected to receivea ???ś900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0,0,0,2,0,158,2,1,3,26,5
Promotional,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0,0,0,3,0,154,3,1,1,29,1
Malicious,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0,2,0,3,0,136,4,0,1,26,1
Malicious,"URGENT! You have won a 1 week FREE membership in our ???ś100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0,0,1,3,0,156,7,0,3,26,5
Indecent,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0,3,1,4,0,149,1,0,0,19,1
Promotional,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/?ź?§1.20 POBOXox36504W45WQ 16+",0,4,0,4,0,156,2,0,0,24,5
Update,Thanks for your subscription to Ringtone UK your mobile will be charged ???ś5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0,1,0,3,0,159,4,0,0,29,5
Promotional,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0,4,0,4,0,172,1,2,0,33,1
Promotional,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0,0,0,2,0,120,3,0,0,22,1
Promotional,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",0,2,0,5,0,160,3,1,4,27,1
Malicious,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ???ś1500 Bonus Prize, call 09066364589",0,0,0,0,0,153,1,1,0,28,5
Malicious,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ???ś1000. To claim txt DIS to 87121 18+6*???ś1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0,2,0,4,0,161,4,0,1,22,5
Promotional,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0,0,0,1,0,78,0,0,1,15,1
Malicious,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ???ś1000 cash or ???ś5000 prize!,0,1,0,0,0,139,1,0,1,23,5
Update,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0,0,0,2,0,158,5,0,0,29,1
Malicious,GENT! We are trying to contact you. Last weekends draw shows that you won a ???ś1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0,0,0,3,0,159,3,1,1,27,5
Malicious,You are a winner U have been specially selected 2 receive ???ś1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),0,3,0,5,0,152,1,0,0,27,5
Update,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0,0,0,1,0,144,1,2,1,20,1
Malicious,"URGENT! Your Mobile No. was awarded ???ś2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0,2,0,1,0,157,4,1,2,26,5
Malicious,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0,0,0,3,0,156,0,1,1,27,1
Malicious,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ???ś1.50 SP:Tyrone,0,0,0,4,0,126,2,0,1,25,5
Indecent,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0,0,0,5,0,162,1,0,2,28,1
Indecent,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0,0,0,5,0,155,2,0,1,32,1
Indecent,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0,0,0,6,0,159,0,0,0,29,1
Promotional,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0,0,0,0,0,124,0,1,0,19,1
Malicious,You are a winner U have been specially selected 2 receive ???ś1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0,1,0,5,0,146,1,0,0,27,5
